	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
ham	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas sp. R57-5	5031573	4599	882	78
hhu	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas huangheensis	4757486	3993	846	76
hco	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas chromatireducens	3973651	3680	780	68
halo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halomonas sp. 1513	4129523	3646	791	82
ple	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum BT-B	358242	256	104	37
ply	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum BT-B-HRs	351658	273	104	34
plr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum BT-QVLC	357472	247	103	38
plo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum BT-QVLC	350928	280	105	34
pld	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum TV	280663	269	119	38
plb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum TV-BCN	280822	268	117	39
plc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum AD-CAI	290195	278	121	39
pli	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum AF-CAI	290376	278	122	39
paly	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Portiera aleyrodidarum MED	357461	255	103	36
crp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii PV (Pachypsylla venusta)	159662	182	70	31
cru	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii CE (Ctenarytaina eucalypti)	162589	190	78	31
crc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii CS (Ctenarytaina spatulata)	162504	190	78	31
crt	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii HT (Heteropsylla texana)	157543	180	70	31
crh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii HC (Heteropsylla cubana)	166163	192	77	31
crv	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii PC (Pachypsylla celtidis)	159923	182	71	31
cri	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Carsonella ruddii DC (Diaphorina citri)	174014	207	87	31
eme	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Evansia muelleri	357498	330	173	39
haa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Halotalea alkalilenta	4387428	3744	850	89
cmai	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Cobetia marina	4176400	3295	765	97
kus	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Kushneria sp. X49	3584631	3172		82
kma	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Kushneria marisflavi	3667185	3207		82
abo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alcanivorax borkumensis	3120143	2755	659	51
adi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alcanivorax dieselolei	4928223	4417	735	48
apac	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alcanivorax pacificus	4168427	3702	668	52
aln	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alcanivorax sp. NBRC 101098	3095417	2824	654	51
axe	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Alcanivorax xenomutans	4733951	4148	715	50
kko	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Kangiella koreensis	2852073	2632	604	51
kge	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Kangiella geojedonensis	2495242	2208	571	50
ksd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Kangiella sediminilitoris	2496140	2308	579	50
mmw	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinomonas sp. MWYL1	5100344	4439	852	111
mme	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinomonas mediterranea	4684316	4121	795	103
mpc	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinomonas posidonica	3899940	3491	798	108
tol	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thalassolituus oleivorans MIL-1	3920328	3662	664	66
tor	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thalassolituus oleivorans R6-15	3764053	3372	665	61
oai	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Oleispira antarctica	4406383	3919	700	67
mars	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Marinobacterium sp. ST58-10	5191608	4413	837	105
gsn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Gynuella sunshinyii	6475959	5934	867	57
ome	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Oleiphilus messinensis	6379281	5502		78
aha	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila subsp. hydrophila ATCC 7966	4744448	4119	839	160
ahy	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila ML09-119	5024500	4434	853	143
ahd	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila YL17	4796281	4091	830	159
ahr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila AL09-71	5023861	4297	846	144
ahp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila pc104A	5023829	4300	846	144
ahj	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila J-1	5000814	4268	847	143
ahh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila AL06-06	4901389	4251	826	147
ahi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas hydrophila AH10	4908265	4196	823	160
asa	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas salmonicida	5024249	4413	802	147
avr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas veronii B565	4551783	4028	812	133
avo	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas veronii TH0426	4923009	4244	802	153
amed	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas media	4788430	4385	789	156
asr	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas schubertii	4400034	4358	781	100
aaj	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Aeromonas aquatica	4783504	4195	828	161
tau	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Tolumonas auensis	3471292	3130	760	120
oce	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Oceanimonas sp. GK1	3527244	3221	774	112
ocm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Oceanisphaera sp. AMac2203	2902896	2484		117
opf	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Oceanisphaera profunda	3508860	2882		120
dno	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Dichelobacter nodosus	1389350	1280	386	55
gap	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Gilliamella apicola	3139412	2803	659	63
fpp	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Frischella perrara	2692351	2272	574	66
sdf	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Steroidobacter denitrificans	3467246	2975	641	51
gbi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Immundisolibacter cernigliae	3243537	2926	661	52
tbn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Thiolapillus brandeum	3153637	2841	605	40
seds	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Sedimenticola thiotaurini	3962284	3417	675	57
tsn	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Thioglobus singularis	1714148	1682	575	42
tho	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Thioglobus autotrophicus	1512449	1506	488	39
pspi	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Pseudohongiella spirulinae	3345119	2988	650	48
rma	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Ruthia magnifica (Calyptogena magnifica)	1160782	976	425	41
vok	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Vesicomyosocius okutanii (Calyptogena okutanii)	1022154	937	414	38
ebh	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Endosymbiont of Bathymodiolus septemdierum	1469434	1471	464	38
bci	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Baumannia cicadellinicola Hc (Homalodisca coagulata)	686194	595	306	46
bcib	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Baumannia cicadellinicola BGSS	759425	689	336	45
bcig	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Candidatus Baumannia cicadellinicola B-GSS	636137	550	252	44
gpb	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Gamma proteobacterium HdN1	4587455	3763	664	56
enm	Prokaryotes	Bacteria	Gammaproteobacteria - Others	Endosymbiont of unidentified scaly snail isolate Monju	2597759	2249	581	43
nma	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis Z2491 (serogroup A)	2184406	1909	544	
nme	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis MC58 (serogroup B)	2272360	1943	542	71
nmp	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis alpha710 (serogroup B)	2242947	2017	548	69
nmh	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis H44/76 (serogroup B)	2240883	1961	544	71
nmc	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis FAM18 (serogroup C)	2194961	1917	544	
nmn	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis 053442 (serogroup C)	2153416	2020	548	71
nmt	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis 8013 (serogroup C)	2277550	1913	544	80
nmi	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis alpha14 (cnl strain)	2145295	1872	546	72
nmd	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis G2136 (serogroup B)	2184862	1928	543	71
nmm	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis M01-240149 (serogroup B)	2223518	1936	548	71
nms	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis M01-240355 (serogroup B)	2287777	1971	546	71
nmq	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis M04-240196 (serogroup B)	2250449	1947	546	71
nmw	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis WUE 2594 (serogroup A)	2227255	1941	540	67
nmz	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis NZ-05/33 (serogroup B)	2248966	1948	549	71
nmx	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria meningitidis 510612  (serogroup A)	2188020	2461	544	71
ngo	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria gonorrhoeae FA 1090	2153922	2157	521	68
ngk	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria gonorrhoeae NCCP11945	2236178	2674	540	67
nla	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria lactamica	2220606	1972	535	71
nel	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria elongata	2256647	2093	538	74
nwe	Prokaryotes	Bacteria	Betaproteobacteria	Neisseria weaveri	2188497	1981	550	69
salv	Prokaryotes	Bacteria	Betaproteobacteria	Snodgrassella alvi	2527978	2299	548	71
kki	Prokaryotes	Bacteria	Betaproteobacteria	Kingella kingae	2140065	2229	516	73
cvi	Prokaryotes	Bacteria	Betaproteobacteria	Chromobacterium violaceum	4751080	4407	791	122
cvc	Prokaryotes	Bacteria	Betaproteobacteria	Chromobacterium vaccinii	5041230	4497	783	129
lhk	Prokaryotes	Bacteria	Betaproteobacteria	Laribacter hongkongensis	3169329	3238	665	98
pse	Prokaryotes	Bacteria	Betaproteobacteria	Pseudogulbenkiania sp. NH8B	4332995	4015	784	112
jeu	Prokaryotes	Bacteria	Betaproteobacteria	Jeongeupia sp. USM3	3788814	3444	693	81
aql	Prokaryotes	Bacteria	Betaproteobacteria	Aquaspirillum sp. LM1	3962240	3296	688	83
rso	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia solanacearum GMI1000	5810922	5120	834	74
rsc	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia solanacearum CFBP2957	3417386	3229	685	72
rsl	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia solanacearum PSI07	5618429	5000	845	78
rsn	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia solanacearum Po82	5430263	5018	814	62
rsm	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia solanacearum CMR15	5590372	5024	816	82
rse	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia solanacearum FQY_4	5805250	5139	825	62
rpi	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia pickettii 12J	5325729	4952	818	68
rpf	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia pickettii 12D	5685358	5361	827	70
rpj	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia pickettii DTP0602	8125850	7449	921	85
rmn	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia mannitolilytica	5072301	4472	796	58
rin	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia insidiosa	5987762	5819	846	63
reu	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia eutropha JMP134	7255290	6446	913	87
reh	Prokaryotes	Bacteria	Betaproteobacteria	Ralstonia eutropha H16	7416678	6626	924	73
cnc	Prokaryotes	Bacteria	Betaproteobacteria	Cupriavidus necator N-1	8480857	7832	928	83
rme	Prokaryotes	Bacteria	Betaproteobacteria	Cupriavidus metallidurans	6913352	6488	845	77
cti	Prokaryotes	Bacteria	Betaproteobacteria	Cupriavidus taiwanensis	6476522	5897	856	90
cbw	Prokaryotes	Bacteria	Betaproteobacteria	Cupriavidus basilensis	8421483	7661	929	90
cgd	Prokaryotes	Bacteria	Betaproteobacteria	Cupriavidus gilardii	5578743	4484	784	71
ccup	Prokaryotes	Bacteria	Betaproteobacteria	Cupriavidus sp. USMAHM13	7820821	6547	885	101
bma	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei ATCC 23344	5835527	5022	887	69
bmv	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei SAVP1	5232401	5189	855	66
bml	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei NCTC 10229	5742303	5157	876	67
bmn	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei NCTC 10247	5848380	5413	883	71
bmal	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei 23344	5625292	4845	874	61
bmae	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei 6	5647769	4822	868	66
bmaq	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei BMQ	5630231	4850	873	61
bmai	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei 2000031063	5874930	4957	888	64
bmaf	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei FMH 23344	5835541	4995	896	66
bmaz	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei 092700E	5827656	4969	893	65
bmab	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia mallei 2002734299	5742341	4902	885	66
bps	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei K96243	7247547	5726	944	81
bpm	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei 1710b	7308054	6347	946	73
bpl	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei 1106a	7089249	7181	947	72
bpd	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei 668	7040403	7117	948	71
bpr	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR346	4098576	4202	742	65
bpse	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR305	7428072	6105	946	71
bpsm	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR511	7316085	5964	944	71
bpsu	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR146	7313103	5963	945	71
bpsd	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei MSHR520	7450511	6113	943	71
bpz	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei 1026b	7231415	6070	941	71
bpq	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei BPC006	7155061	7159	942	71
bpk	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei NCTC 13179	7337157	6085	945	72
bpsh	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei HBPUB10134a	7218403	5846	942	71
bpsa	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei NAU35A-3	7204083	5844	942	71
bpso	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei A79A	7272441	5961	941	71
but	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pseudomallei TSV202	7814142	6531	951	71
bte	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis E264	6723972	5634	919	72
btq	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis 2002721723	6577133	5533	895	70
btj	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis E444	6651696	5571	916	70
btz	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis H0587	6768375	5629	921	70
btd	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis MSMB121	6731379	5758	925	68
btv	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis MSMB59	6739500	5709	920	69
bthe	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis E254	6676730	5591	918	70
bthm	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis USAMRU Malaysia #20	6684359	5620	920	70
btha	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis 2003015869	6729116	5757	916	73
bthl	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia thailandensis 2002721643	6722801	5626	916	70
bok	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia oklahomensis E0147	7313673	6264	942	69
boc	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia oklahomensis C6786	7135022	6071	935	70
bvi	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia vietnamiensis G4	8391070	7617	941	88
bve	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia vietnamiensis LMG 10929	6930496	6100	915	87
bur	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia lata	8676277	7717	1040	88
bcn	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia AU1054	7279116	6477	963	88
bch	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia HI2424	7702840	6919	980	86
bcm	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia MC0-3	7971389	7008	980	89
bcj	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia J2315	8055782	7121	991	99
bcen	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia DDS 22E-1	8045250	7066	983	87
bcew	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia DWS 37E-2	6612421	5763	921	84
bceo	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cenocepacia H111	7714893	6932	1000	84
bam	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia ambifaria AMMD	7528567	6610	967	90
bac	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia ambifaria MC40-6	7642536	6697	965	90
bmu	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia multivorans ATCC 17616 (JGI)	7008622	6259	926	83
bmj	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia multivorans ATCC 17616 (Tohoku)	7008810	3982	757	81
bmk	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia multivorans DDS 15A-1	7281867	6501	942	80
bmul	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia multivorans ATCC BAA-247	6322746	5589	919	81
bct	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cepacia GG4	6467321	5825	941	66
bced	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cepacia DDS 7H-2	8147114	7323	1004	84
bcep	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia cepacia ATCC 25416	8605945	7490	984	88
bdl	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia dolosa	6409095	5633	912	83
bpyr	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia pyrrocinia	7961346	6802	967	86
bcon	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia contaminans	8509249	7266	1003	85
bdf	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia diffusa	6857833	5980	946	85
blat	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia latens	6614478	5761	907	83
btei	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia territorii	6902370	5945		85
bsem	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia seminalis	7648944	6675		86
bgl	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia glumae BGR1	7284636	5772	903	81
bgp	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia glumae PG1	7896538	6455	955	81
bgu	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia glumae LMG 2196 = ATCC 33617	6820727	5838	898	80
bug	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. CCGE1001	7253494	6453	940	84
bge	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. CCGE1002	7884858	6889	957	98
bgf	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. CCGE1003	7043595	5988	936	85
bgd	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia gladioli BSR3	9052299	7410	968	83
bgo	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia gladioli ATCC 10248	8899459	7540	962	82
byi	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. YI23	8896411	7804	988	82
buk	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. KJ006	6629912	6024	897	83
buo	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. RPE64	6964487	6732	945	76
bue	Prokaryotes	Bacteria	Betaproteobacteria	Burkholderia sp. RPE67	8685756	8112	983	82
